country,iso_code,year,illiteracy_rate,illiterate_total,literate_total
Afghanistan,AFG,2011,69.0,31.0,0
Afghanistan,AFG,2015,66.246155,33.75384,0
Afghanistan,AFG,2021,63.0,37.0,0
Albania,ALB,2001,1.0,99.0,0
Albania,ALB,2008,4.0,96.0,0
Albania,ALB,2011,3.0,97.0,0
Albania,ALB,2012,3.0,97.0,0
Albania,ALB,2017,1.1837692,98.81623,0
Algeria,DZA,2002,30.0,70.0,0
Algeria,DZA,2006,27.0,73.0,0
Algeria,DZA,2008,25.0,75.0,0
Angola,AGO,2001,33.0,67.0,0
Angola,AGO,2014,34.0,66.0,0
Angola,AGO,2015,33.764137,66.23586,0
Antigua and Barbuda,ATG,2001,1.0,99.0,0
Argentina,ARG,1991,4.0,96.0,0
Argentina,ARG,2001,3.0,97.0,0
Armenia,ARM,2001,1.0,99.0,0
Armenia,ARM,2011,0.0,100.0,0
Armenia,ARM,2016,0.0,100.0,0
Armenia,ARM,2017,0.0,100.0,0
Armenia,ARM,2020,0.0,100.0,0
Armenia,ARM,2022,0.17500305,99.825,0
Aruba,ABW,2000,3.0,97.0,0
Aruba,ABW,2010,3.0,97.0,0
Azerbaijan,AZE,1999,1.0,99.0,0
Azerbaijan,AZE,2007,0.0,100.0,0
Azerbaijan,AZE,2009,0.0,100.0,0
Azerbaijan,AZE,2010,0.0,100.0,0
Azerbaijan,AZE,2011,0.0,100.0,0
Azerbaijan,AZE,2012,0.0,100.0,0
Azerbaijan,AZE,2013,0.0,100.0,0
Azerbaijan,AZE,2014,0.0,100.0,0
Azerbaijan,AZE,2015,0.0,100.0,0
Azerbaijan,AZE,2016,0.0,100.0,0
Azerbaijan,AZE,2017,0.0,100.0,0
Azerbaijan,AZE,2019,0.0,100.0,0
Azerbaijan,AZE,2023,0.0,100.0,0
Bahrain,BHR,1991,16.0,84.0,0
Bahrain,BHR,2001,13.0,87.0,0
Bahrain,BHR,2022,2.0,98.0,0
Bahrain,BHR,2023,2.0,98.0,0
Bangladesh,BGD,1991,65.0,35.0,0
Bangladesh,BGD,2001,53.0,47.0,0
Bangladesh,BGD,2011,41.0,59.0,0
Bangladesh,BGD,2012,42.0,58.0,0
Bangladesh,BGD,2013,39.0,61.0,0
Bangladesh,BGD,2014,39.0,61.0,0
Bangladesh,BGD,2015,35.0,65.0,0
Bangladesh,BGD,2016,27.0,73.0,0
Bangladesh,BGD,2017,27.0,73.0,0
Bangladesh,BGD,2018,26.0,74.0,0
Bangladesh,BGD,2019,25.0,75.0,0
Bangladesh,BGD,2020,25.0,75.0,0
Bangladesh,BGD,2021,24.0,76.0,0
Bangladesh,BGD,2022,21.0,79.0,0
Belarus,BLR,1999,0.0,100.0,0
Belarus,BLR,2009,0.0,100.0,0
Belarus,BLR,2019,0.0,100.0,0
Belize,BLZ,1991,30.0,70.0,0
Belize,BLZ,2015,9.0839615,90.91604,0
Benin,BEN,1992,73.0,27.0,0
Benin,BEN,2002,65.0,35.0,0
Benin,BEN,2017,61.12879,38.87121,0
Benin,BEN,2019,51.00172,48.99828,0
Benin,BEN,2021,56.16583,43.83417,0
Benin,BEN,2022,48.62123,51.37877,0
Bhutan,BTN,2005,47.0,53.0,0
Bhutan,BTN,2012,45.0,55.0,0
Bhutan,BTN,2017,33.0,67.0,0
Bolivia,BOL,1992,20.0,80.0,0
Bolivia,BOL,2001,13.0,87.0,0
Bolivia,BOL,2007,9.0,91.0,0
Bolivia,BOL,2008,9.0,91.0,0
Bolivia,BOL,2009,9.0,91.0,0
Bolivia,BOL,2011,8.0,92.0,0
Bolivia,BOL,2012,6.0,94.0,0
